tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
17:12:30.767241 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:12:30.858749 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:12:46.600278 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:12:46.782776 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:12:52.516571 IP 192.168.1.205.http-alt > XBOX.3074: UDP, length 41
17:12:52.628500 IP 192.168.1.205.http-alt > XBOX.3074: UDP, length 41
17:12:52.839600 IP 192.168.1.205.http-alt > XBOX.3074: UDP, length 41
17:12:53.056292 IP 192.168.1.205.http-alt > XBOX.3074: UDP, length 41
17:12:53.255233 IP 192.168.1.205.http-alt > XBOX.3074: UDP, length 41
17:12:53.478904 IP 192.168.1.205.http-alt > XBOX.3074: UDP, length 41
17:12:53.685886 IP 192.168.1.205.http-alt > XBOX.3074: UDP, length 41
17:12:53.959302 IP 192.168.1.205.http-alt > XBOX.3074: UDP, length 41
17:12:54.129983 IP 192.168.1.205.http-alt > XBOX.3074: UDP, length 41
17:13:03.382306 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:13:03.576769 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:13:19.648367 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:13:19.724577 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:13:39.030441 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:13:39.139030 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:13:54.490464 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:13:54.568813 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:14:10.540631 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:14:10.598614 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:14:10.600031 IP XBOX.3074 > 224.0.0.253.3544: UDP, length 40
17:14:27.018550 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:14:27.099149 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:14:43.990657 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:14:44.055739 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:15:03.662723 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:15:03.746673 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:15:22.845798 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:15:23.043914 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:15:39.747842 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:15:39.817895 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:15:55.802033 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:15:55.868766 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:16:13.523305 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:16:13.636198 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:16:32.555038 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:16:32.610678 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:16:48.952110 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:16:49.171025 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:17:06.891140 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:17:06.979078 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:17:06.980407 IP XBOX.3074 > 224.0.0.253.3544: UDP, length 40
17:17:22.224234 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:17:22.382754 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:17:37.787253 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:17:37.901538 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:17:57.413353 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:17:57.496796 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:18:12.780370 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:18:12.863138 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:18:29.038650 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:18:29.209823 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:18:47.592501 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:18:47.756990 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:19:07.317590 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:19:07.504393 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:19:22.559656 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:19:22.741974 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:19:38.230720 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:19:38.340507 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:19:53.673771 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:19:53.758690 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109
17:19:53.760065 IP XBOX.3074 > 224.0.0.253.3544: UDP, length 40
17:20:09.272816 IP XBOX.3074 > 52.158.215.30.3544: UDP, length 61
17:20:09.355730 IP 52.158.215.30.3544 > XBOX.3074: UDP, length 109

68 packets captured
68 packets received by filter
0 packets dropped by kernel
